UNIQUE_ID,Dataset,Source,Type,number_subLayer,study_area_overlap,study_region_overlap,Spatial_res,Temporal_res,Last_updated,Source_link,Metadata_link,Notes,Size_GB,Confidential,Downloaded,used_in_modelling
AKG255,Harvest data & Reports: Resource by Region: Fish,Alaska Department of Fish and Game,,https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=100000000&CFTREEITEMKEY=Fish,,,,,,"Alaska Department of Fish & Game. (2016). ADF&G, Subsistence, Community Subsistence Information System—FIsh. https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionData",,,,N,,Y
AKG256,Harvest data & Reports: Resource by Region: Fish,Alaska Department of Fish and Game,,https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=100000000&CFTREEITEMKEY=Fish,,,,,,"Alaska Department of Fish & Game. (2016). ADF&G, Subsistence, Community Subsistence Information System—FIsh. https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionData",,,,N,,Y
AKG257,Harvest data & Reports: Resource by Region: Fish,Alaska Department of Fish and Game,,https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=100000000&CFTREEITEMKEY=Fish,,,,,,"Alaska Department of Fish & Game. (2016). ADF&G, Subsistence, Community Subsistence Information System—FIsh. https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionData",,,,N,,Y
AKG258,Harvest data & Reports: Resource by Region: Marine Mammal,Alaska Department of Fish and Game,,https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=300000000&CFTREEITEMKEY=Marine%20Mammals,,,,,,"Alaska Department of Fish and Game. (2015). ADF&G, Subsistence, Community Subsistence Information System—Marine Mammals. https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=300000000&CFTREEITEMKEY=Marine%20Mammals",,,,N,,Y
AKG259,Harvest data & Reports: Resource by Region: Marine Mammal,Alaska Department of Fish and Game,,https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=300000000&CFTREEITEMKEY=Marine%20Mammals,,,,,,"Alaska Department of Fish and Game. (2015). ADF&G, Subsistence, Community Subsistence Information System—Marine Mammals. https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=300000000&CFTREEITEMKEY=Marine%20Mammals",,,,N,,Y
AKG260,Harvest data & Reports: Resource by Region: Marine Mammal,Alaska Department of Fish and Game,,https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=300000000&CFTREEITEMKEY=Marine%20Mammals,,,,,,"Alaska Department of Fish and Game. (2015). ADF&G, Subsistence, Community Subsistence Information System—Marine Mammals. https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=300000000&CFTREEITEMKEY=Marine%20Mammals",,,,N,,Y
AKG261,Harvest data & Reports: Resource by Region: Marine Invertebrate,Alaska Department of Fish and Game,,https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=500000000&CFTREEITEMKEY=Marine%20Invertebrates,,,,,,"Alaska Department of Fish and Game. (2015). ADF&G, Subsistence, Community Subsistence Information System—Invertebrates. https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=500000000&CFTREEITEMKEY=Marine%20Invertebrates",,,,N,,Y
AKG262,Harvest data & Reports: Resource by Region: Marine Invertebrate,Alaska Department of Fish and Game,,https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=500000000&CFTREEITEMKEY=Marine%20Invertebrates,,,,,,"Alaska Department of Fish and Game. (2015). ADF&G, Subsistence, Community Subsistence Information System—Invertebrates. https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=500000000&CFTREEITEMKEY=Marine%20Invertebrates",,,,N,,Y
AKG263,Harvest data & Reports: Resource by Region: Marine Invertebrate,Alaska Department of Fish and Game,,https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=500000000&CFTREEITEMKEY=Marine%20Invertebrates,,,,,,"Alaska Department of Fish and Game. (2015). ADF&G, Subsistence, Community Subsistence Information System—Invertebrates. https://www.adfg.alaska.gov/sb/CSIS/index.cfm?ADFG=harvInfo.resourceRegionSelReg&ResCatCD=500000000&CFTREEITEMKEY=Marine%20Invertebrates",,,,N,,Y
AKG294,Assessment of Seaweed Processing Locations in Alaska,Alaska Fisheries Development Foundation,,https://www.afdf.org/wp-content/uploads/Assessment-of-Alaska-Seaweed-Processing-Locations-FINAL-2022-01-26.pdf,,,,,,Alaska Fisheries Development Foundation. (2022). Assessment of Seaweed processing locations in Alaska. https://www.afdf.org/wp-content/uploads/Assessment-of-Alaska-Seaweed-Processing-Locations-FINAL-2022-01-26.pdf,,,,N,,N
AKG295,Aquaculture Geodatabase/ 2022 NOS Spatial Census of Aquaculture,[provided],,,,,,,,NOAA National Centers for Coastal Ocean Science. 2022. Pre-release 2022 NOS Spatial Census of Aquaculture.,,,,N,,N
AKG046,ADF&G Anadromous Waters Catalog (2020),Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/72c355ec-c1a5-444c-83c0-320dfb2ce6b7/e401d0d9-9fa2-4017-bd4a-193fd252dbb8,,,,,,"Alaska Department of Fish and Game. (2018, June 1). Alaska Anadromous Waters Catalog. https://alaska-department-of-fish-and-game-adfg.hub.arcgis.com/datasets/adfg::awc-species-layer/about",,,,N,,Y
AKG047,ADF&G Geoduck Commercial Fishery Areas for Southeast Alaska,Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/a48c2de7-ff4a-44b6-8c51-c493ef12e32b/563b7025-6b8d-4277-91c1-46f15e6b1b3c,,,,,,Alaska Department of Fish and Game. (2017).  Geoduck Fishery Area Charts [PDF]. Retrieved from https://www.adfg.alaska.gov/static/fishing/PDFs/commercial/se_geoduck_logbook.pdf,,,,N,,Y
AKG048,ADF&G Groundfish Statistical Areas,Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/a48c2de7-ff4a-44b6-8c51-c493ef12e32b/0f4fd59b-4ec9-43f6-908c-3aa52699a929,,,,,,Alaska Department of Fish and Game. (2017). Groundfish Statistical Areas 200 [Data file]. Retrieved from https://soa-adfg.opendata.arcgis.com/datasets/groundfish-statistical-areas-2001?geometry=75.586%2C-43.490%2C-75.586%2C86.365,,,,N,,Y
AKG049,ADF&G Red Urchin Commercial Fishery Areas for Southeast Alaska,Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/a48c2de7-ff4a-44b6-8c51-c493ef12e32b/16a10a28-d2e6-42b1-a2f3-4c2bf49a3df2,,,,,,"Donnellan, M. D.. (2018). Alaska Department of Fish and Game Commercial Fishery Area Status Southeast Alaska Red Sea Urchin. [PDF]. Retrieved from: https://www.adfg.alaska.gov/static/fishing/PDFs/commercial/se_urchin_fisheries.pdf",,,,N,,Y
AKG050,ADF&G Salmon Statistical Areas for the Bristol Bay region,Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/a48c2de7-ff4a-44b6-8c51-c493ef12e32b/b646ee62-d32c-49df-94b9-29ac993c9cc7,,,,,,Alaska Department of Fish and Game. (2020). Commercial Fisheries Bristol Bay Salmon Statistical Areas. [Data File]. Retrieved from https://soa-adfg.opendata.arcgis.com/datasets/commercial-fisheries-bristol-bay-salmon-statistical-areas,,,,N,,Y
AKG051,ADF&G Salmon Statistical Areas for the Cook Inlet Area,Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/a48c2de7-ff4a-44b6-8c51-c493ef12e32b/d17d1b28-7694-4c6f-a5ef-a2f0c5f487e6,,,,,,Alaska Department of Fish and Game. (2019). Upper Cook Inlet Salmon Statistical Areas 2019. [Data File]. Retrieved from https://soa-adfg.opendata.arcgis.com/datasets/commercial-fisheries-upper-cook-inlet-salmon-statistical-areas-,,,,N,,Y
AKG052,ADF&G Salmon and Miscellaneous Finfish Statistical Areas for the Arctic-Yukon-Kuskokwim region,Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/a48c2de7-ff4a-44b6-8c51-c493ef12e32b/dbfd1d7c-9b8a-43cb-99be-9315706e76af,,,,,,Alaska Department of Fish and Game. (2018).   Almon AYK 2017  . [Data File]. Retrieved from:https://services.arcgis.com/VdkVOAHovLuozJG4/arcgis/rest/services/Salmon_AYK_2017/FeatureServer,,,,N,,Y
AKG053,ADF&G Salmon and Miscellaneous Finfish Statistical Areas for the Prince William Sound region,Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/a48c2de7-ff4a-44b6-8c51-c493ef12e32b/43617c3d-7603-45a5-a209-ede8db166320,,,,,,Alaska Department of Fish and Game. (2018).  Commercial Salmon Prince William Sound Statistical Areas . [Data File]. Retrieved from: https://services.arcgis.com/VdkVOAHovLuozJG4/arcgis/rest/services/Commercial_Salmon_PrinceWilliamSound_StatisticalAreas/FeatureServer/0.,,,,N,,Y
AKG054,ADF&G Sea Cucumber Commercial Fishery Area for Southeast Alaska,Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/a48c2de7-ff4a-44b6-8c51-c493ef12e32b/8fdb5f2b-e22f-4adb-9983-c22d1993aa0c,,,,,,Alaska Department of Fish and Game. (2018). Alaska Department of Fish and Game Southeast Alaska Sea Cucumber Commercial Fishery Area Status Map I. [Data File]. Retrieved from https://www.adfg.alaska.gov/index.cfm?adfg=CommercialByFisherydive.divemaps,,,,N,,Y
AKG055,"ADF&G Tanner Crab Sections in the Kodiak, Chignik and Alaska Peninsula areas",Alaska Ocean Observing System,,https://portal.aoos.org/?portal_id=121#metadata/a48c2de7-ff4a-44b6-8c51-c493ef12e32b/a5e7a960-e592-4e3c-a0d4-b86db657583c,,,,,,Alaska Department of Fish and Game. (2020). Kodiak Chignik Alaska Peninsula Tanner Crab Sections. [Data File]. Retrieved from https://www.adfg.alaska.gov/index.cfm?adfg=commercialbyareaakpeninsula.shellfish,,,,N,,Y
AKG245,Tideland Leases,State of Alaska Open Data Geoportal,,https://gis.data.alaska.gov/datasets/seakgis::tideland-leases-dnr/about,,,,,,"Southeast Alaska GIS Library. (2019, February 8). Tideland Leases (DNR). https://gis.data.alaska.gov/datasets/seakgis::tideland-leases-dnr/about",,,,N,,N
